agent,gender,age,status,origin
Telemachus,male,adolescent,power-holder,Ithacan
Accuser(s),male,mature,free,Thasian
Thesmophylakes,male,mature/old,power-holder,Elean
Simmias,male,adolescent,free,Theban
Phocaeans,male,any adult age,free,Phocaean
Old Persian kings,male,any adult age,power-holder,Persian
Allied leaders,male,mature,free,various
Parmenides,male,old,free,Eleatic
Representatives of some of the Etruscans,male,mature/old,power-holder,Etruscan
People of Cadmus,male,any adult age,free,Theban
A divorced woman,female,adolescent/mature,free,Gortynian
Cook,male,unknown,unknown,unknown
Simias,male,adolescent/mature,chattel-slave,unknown
Dioscurides,male,mature/old,power-holder,Neapolitan
Secretaries?,male,mature/old,free,Athenian
Hieromnemonai,male,mature/old,free,various
Heralds,male,mature/old,free,various
Misgolas,male,mature,free,Athenian
Stephanus,male,mature,free,Athenian
The followers of the Thirty,male,any adult age,free,Athenian
The rest of the Athenians,male,any adult age,free,Athenian
Other members of the sworn band,male,any adult age,free,Spartan
Hyrcanians,male,any adult age,free,Hyrcanian
The divorced wife,female,any adult age,free,Gortynian
Sybarite representatives,male,mature/old,power-holder,Sybarite
"New ""member""",male,any adult age,free,Athenian
Other members,male,any adult age,free,Athenian
All the rulers,male,mature/old,power-holder,Magnesian
Indians,male,adolescent/mature,free,Indian
Carians,male,adolescent/mature,free,Carian
Battus,male,mature,power-holder,Theran
Colonists,male,mature,free,Theran
Aeacus,male,mature,free,n/a
Iulietans,male,any adult age,free,Iulietan
Carthaeans,male,any adult age,free,Carthaean
Chabrias,male,mature,power-holder,Athenian
Creusa,female,mature,power-holder,Athenian
Adusius,male,mature,free,Persian
Ancestors of Archidamus i.e. the Kings,male,any adult age,power-holder,Spartan
Parasite,male,n/a,unknown,n/a
Cyclops,male,mature,free,n/a
Apodektai?,male,mature/old,free,Athenian
Ugly man,male,mature,free,Persian
Dinner guests,male,any adult age,free,Persian
Corpse,male,mature/old,n/a,n/a
Hermeias,male,mature,power-holder,Atarnean
Erastus,male,mature,free,Scepsian
Coriscus,male,mature,free,Scepsian
Ariadne,female,adolescent/mature,power-holder,Cretan
Samians,male,any adult age,free,Samian
Athenian stratiotai,male,adolescent/mature,free,Athenian
Thrasyllus,male,mature,power-holder,Athenian
Phalinus,male,mature/old,power-holder,unknown
The Athenians in Potidaea,male,any adult age,free,Athenian
Timotheus,male,mature,free,Athenian
Proposer,male,mature/old,free,Athenian
Leucon,male,mature/old,power-holder,Bosporan
Demarch?,male,mature/old,power-holder,Athenian
Five elected Athenians,male,mature/old,power-holder,Athenian
First Old woman,female,old,free,Athenian
Two chosen men,male,any adult age,free,Athenian
Dioxippus' sister,female,mature,free,Athenian
Lycophron,male,mature,free,Athenian
Girl,female,adolescent,free,Athenian
The spectators,male,adolescent/mature,free,Athenian
Treasurers?,male,mature/old,power-holder,Athenian from deme Scambonidae
Pharsalian representatives,male,mature/old,power-holder,Thessalian
Crannonian representatives,male,mature/old,power-holder,Thessalian
Scotussian representatives,male,mature/old,power-holder,Thessalian
Larissan representatives,male,mature/old,power-holder,Thessalian
Sogenes,male,child,free,Aeginetan
Citizens of Scillus (acting as jurors?)?,male,mature/old,free,Scillian
Agathon,male,adolescent/mature,free,Athenian
Nomothetai,male,mature/old,power-holder,Athenian
Socrates' accusers,male,mature,free,Athenian
Accused man,male,any adult age,free,Gortynian
Onetor,male,mature,free,Athenian
Representatives of [cities?] from Thrace?,male,mature/old,power-holder,various Thracian poleis
Representatives of other Greek states,male,mature/old,power-holder,various poleis and ethne
Niceratus,male,adolescent,free,Athenian
Thracian kings,male,any adult age,power-holder,Thracian
Solon,male,mature/old,power-holder,Athenian
Majoritarian,male,mature/old,free,Greek
Cleobule,female,mature,free,Athenian
Tomyris,female,mature,power-holder,Massagetaean
Phalaecus,male,mature,power-holder,Phocian
Charidemus,male,mature,power-holder,Oreitan
100 men,male,mature/old,free,Locrian Naupactan
Opuntians,male,mature/old,free,Locrian
A god,n/a,n/a,unknown,n/a
The pledgee of land,male,any adult age,free,Gortynian
Chaerephon,male,old,free,Athenian
Sitalces,male,mature,power-holder,Thracian
Sadocus (Sitalces' son),male,adolescent,free,Athenian
Autolycus,male,adolescent,free,Athenian
Demosthenes' representative,male,mature/old,free,Athenian
Hegesandrus,male,mature,free,Athenian
Dissident,male,mature,free,Athenian
Chalcideus,male,mature/old,power-holder,Spartan
